sample_id	class	family	phylum	genus	species
946		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Roseibium	sp. TrichSKD4
947		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Vibrio	splendidus
948		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Vibrio	alginolyticus
949		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Photobacterium	angustum
950		Verrucomicrobiae		Verrucomicrobia		
951		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Aliivibrio	fischeri
952		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Vibrio	sp. 16
953		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Vibrio	shilonii
954		Gammaproteobacteria		Proteobacteria		
955				Cyanobacteria	Synechococcus	sp. WH 5701
956				Cyanobacteria	Synechococcus	sp. WH 7805
1018						
1019						
1020						
1021						
1022						
1023						
1024						
1025						
1026						
1027						
1028						
1029						
1030						
1031						
1032						
1033						
1034						
1035						
1036						
1037						
1038						
1039						
1040						
1041						
1042						
1043						
1044						
1045						
1046						
1047						
1048						
1049						
1050						
1051						
1052						
1053						
1054						
1055						
1056						
1057						
1058						
1059						
1060						
1061						
1062						
1063						
1064						
1065						
1066						
1067						
1068						
1069						
1070						
1071						
1072						
1073						
1074						
1075						
1076						
1077						
1078						
1079						
1080						
1081						
1082						
1083						
1084						
1085						
1086						
1087						
1088						
1089						
1090						
1091						
1092						
1093						
1094						
1095						
1096						
1097						
1098						
1099						
1100						
1101						
1102						
1103						
1104						
1105						
1106						
1107						
1108						
1109						
1110						
1111						
1112						
1113						
1114						
1115						
1116						
1117						
1118						
1119						
1120						
1121						
1122						
1123						
1124						
1125						
1126						
1127						
1128						
1129						
1130						
1131						
1132						
1133						
1134						
1135						
1136						
1137						
1138						
1333						
1334						
1335						
1336						
1337						
1338						
1339						
1340						
1341						
1342						
1343						
1344						
1345						
1346						
1347						
1348						
1349						
1350						
1351						
1352						
1353						
1354						
1355						
1356						
1357						
1358						
1359						
1360						
1361						
1362						
1363						
1364						
1365						
1366						
1367						
1368						
1369						
1370						
1371						
1372						
1373						
1374						
1499						
1500						
1501						
1502						
1503						
1504						
1505						
1506						
1662						
1662						
1663		Dinophyceae	Heterocapsaceae		Heterocapsa	rotundata
1664			Vannellidae			
1664			Vannellidae			
1665		Dinophyceae	Gymnodiniaceae		Gymnodinium	catenatum
1666		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Cylindrotheca	closterium
1666		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Cylindrotheca	closterium
1667		Oligohymenophorea	Uronematidae		Uronema	marinum
1667		Oligohymenophorea	Uronematidae		Uronema	marinum
1668		Chrysophyceae	Chromulinaceae		Ochromonas	sp. CCMP1393
1668		Chrysophyceae	Chromulinaceae		Ochromonas	sp. CCMP1393
1669		Chrysophyceae	Chromulinaceae		Ochromonas	sp. CCMP1393
1669		Chrysophyceae	Chromulinaceae		Ochromonas	sp. CCMP1393
1670			Prymnesiaceae		Prymnesium	parvum
1670			Prymnesiaceae		Prymnesium	parvum
1671			Prymnesiaceae		Prymnesium	parvum
1671			Prymnesiaceae		Prymnesium	parvum
1672			Prymnesiaceae		Prymnesium	parvum
1672			Prymnesiaceae		Prymnesium	parvum
1673		Fragilariophyceae	Grammatophoraceae	Bacillariophyta	Grammatophora	oceanica
1673		Fragilariophyceae	Grammatophoraceae	Bacillariophyta	Grammatophora	oceanica
1674		Coscinodiscophyceae	Corethraceae	Bacillariophyta	Corethron	hystrix
1674		Coscinodiscophyceae	Corethraceae	Bacillariophyta	Corethron	hystrix
1675		Stylonematophyceae	Stylonemataceae		Rhodosorus	marinus
1675		Stylonematophyceae	Stylonemataceae		Rhodosorus	marinus
1676		Coscinodiscophyceae	Skeletonemataceae	Bacillariophyta	Skeletonema	costatum
1676		Coscinodiscophyceae	Skeletonemataceae	Bacillariophyta	Skeletonema	costatum
1677		Bacillariophyceae	Bacillariaceae	Bacillariophyta		
1677		Bacillariophyceae	Bacillariaceae	Bacillariophyta		
1678		Mediophyceae	Eupodiscaceae	Bacillariophyta		
1678		Mediophyceae	Eupodiscaceae	Bacillariophyta		
1679		Nephroselmidophyceae		Chlorophyta	Nephroselmis	pyriformis
1679		Nephroselmidophyceae		Chlorophyta	Nephroselmis	pyriformis
1680					Lotharella	globosa
1680					Lotharella	globosa
1681						
1681						
1682		Cryptophyta	Hemiselmidaceae		Hemiselmis	andersenii
1682		Cryptophyta	Hemiselmidaceae		Hemiselmis	andersenii
1683		Cryptophyta	Cryptomonadaceae		Cryptomonas	paramecium
1683		Cryptophyta	Cryptomonadaceae		Cryptomonas	paramecium
1684				Euglenida	Eutreptiella	gymnastica
1684				Euglenida	Eutreptiella	gymnastica
1685					Lotharella	sp. CCMP622
1685					Lotharella	sp. CCMP622
1686		Dinophyceae	Kareniaceae		Karenia	brevis
1686		Dinophyceae	Kareniaceae		Karenia	brevis
1687		Dinophyceae	Kareniaceae		Karenia	brevis
1687		Dinophyceae	Kareniaceae		Karenia	brevis
1688		Dinophyceae	Kareniaceae		Karenia	brevis
1688		Dinophyceae	Kareniaceae		Karenia	brevis
1689		Dinophyceae	Kareniaceae		Karenia	brevis
1689		Dinophyceae	Kareniaceae		Karenia	brevis
1690		Mamiellophyceae	Dolichomastigaceae	Chlorophyta	Dolichomastix	tenuilepis
1690		Mamiellophyceae	Dolichomastigaceae	Chlorophyta	Dolichomastix	tenuilepis
1691		Chrysophyceae	Dinobryaceae			
1691		Chrysophyceae	Dinobryaceae			
1692		Chrysophyceae	Dinobryaceae			
1692		Chrysophyceae	Dinobryaceae			
1693				Chlorophyta	Pyramimonas	parkeae
1693				Chlorophyta	Pyramimonas	parkeae
1694				Chlorophyta	Pyramimonas	parkeae
1694				Chlorophyta	Pyramimonas	parkeae
1695		Chlorophyceae	Chlamydomonadaceae	Chlorophyta	Chlamydomonas	sp. CCMP219
1695		Chlorophyceae	Chlamydomonadaceae	Chlorophyta	Chlamydomonas	sp. CCMP219
1696						
1696						
1697		Dinophyceae	Oxyrrhinaceae		Oxyrrhis	marina
1697		Dinophyceae	Oxyrrhinaceae		Oxyrrhis	marina
1698					Bigelowiella	natans
1698					Bigelowiella	natans
1699		Cryptophyta	Geminigeraceae		Guillardia	theta
1699		Cryptophyta	Geminigeraceae		Guillardia	theta
1700		Chlorophyceae	Chlamydomonadaceae	Chlorophyta	Polytomella	parva
1700		Chlorophyceae	Chlamydomonadaceae	Chlorophyta	Polytomella	parva
1701		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1701		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1702		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1702		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1703		Chrysophyceae	Paraphysomonadaceae		Paraphysomonas	imperforata
1703		Chrysophyceae	Paraphysomonadaceae		Paraphysomonas	imperforata
1704		Chrysophyceae	Paraphysomonadaceae		Paraphysomonas	imperforata
1704		Chrysophyceae	Paraphysomonadaceae		Paraphysomonas	imperforata
1705		Cryptophyta	Goniomonadaceae		Goniomonas	pacifica
1705		Cryptophyta	Goniomonadaceae		Goniomonas	pacifica
1706		Cryptophyta	Goniomonadaceae		Goniomonas	pacifica
1706		Cryptophyta	Goniomonadaceae		Goniomonas	pacifica
1707			Acanthoecidae			
1707			Acanthoecidae			
1708			Acanthoecidae			
1708			Acanthoecidae			
1709		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1709		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1710						
1710						
1711						
1711						
1712						
1712						
1713		Dictyochophyceae			Pteridomonas	danica
1713		Dictyochophyceae			Pteridomonas	danica
1714		Dictyochophyceae			Pteridomonas	danica
1714		Dictyochophyceae			Pteridomonas	danica
1715						
1715						
1716		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1716		Dinophyceae	Gonyaulacaceae		Alexandrium	monilatum
1717		Dinophyceae	Peridiniaceae		Durinskia	baltica
1717		Dinophyceae	Peridiniaceae		Durinskia	baltica
1718		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1718		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1719		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1719		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1720		Spirotrichea	Xystonellidae		Favella	ehrenbergii
1720		Spirotrichea	Xystonellidae		Favella	ehrenbergii
1721		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1721		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1722		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1722		Dinophyceae	Peridiniaceae		Kryptoperidinium	foliaceum
1723					Chlorarachnion	reptans
1723					Chlorarachnion	reptans
1724					Gymnochlora	sp. CCMP2014
1724					Gymnochlora	sp. CCMP2014
1725					Lotharella	globosa
1725					Lotharella	globosa
1726					Lotharella	globosa
1726					Lotharella	globosa
1727						
1727						
1728		Cryptophyta	Goniomonadaceae			
1728		Cryptophyta	Goniomonadaceae			
1729						
1729						
1730		Dinophyceae	Peridiniaceae		Durinskia	baltica
1730		Dinophyceae	Peridiniaceae		Durinskia	baltica
1731		Spirotrichea	Strombidinopsidae		Strombidinopsis	acuminata
1731		Spirotrichea	Strombidinopsidae		Strombidinopsis	acuminata
1732		Colpodea	Platyophryidae		Platyophrya	macrostoma
1732		Colpodea	Platyophryidae		Platyophrya	macrostoma
1733		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1733		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1734		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1734		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1735			Prymnesiaceae		Prymnesium	polylepis
1735			Prymnesiaceae		Prymnesium	polylepis
1736			Prymnesiaceae		Prymnesium	polylepis
1736			Prymnesiaceae		Prymnesium	polylepis
1737		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1737		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1738		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1738		Bacillariophyceae	Bacillariaceae	Bacillariophyta	Pseudo-nitzschia	australis
1739		Dinophyceae	Symbiodiniaceae		Symbiodinium	kawagutii
1739		Dinophyceae	Symbiodiniaceae		Symbiodinium	kawagutii
1740		Oligohymenophorea			Aristerostoma	sp. ATCC 50986
1740		Oligohymenophorea			Aristerostoma	sp. ATCC 50986
1741		Fragilariophyceae	Thalassionemataceae	Bacillariophyta	Thalassionema	nitzschioides
1741		Fragilariophyceae	Thalassionemataceae	Bacillariophyta	Thalassionema	nitzschioides
1742		Fragilariophyceae	Thalassionemataceae	Bacillariophyta	Thalassionema	nitzschioides
1742		Fragilariophyceae	Thalassionemataceae	Bacillariophyta	Thalassionema	nitzschioides
1743		Mediophyceae	Eupodiscaceae	Bacillariophyta	Odontella	sinensis
1743		Mediophyceae	Eupodiscaceae	Bacillariophyta	Odontella	sinensis
1744			Paramoebidae		Paramoeba	aestuarina
1744			Paramoebidae		Paramoeba	aestuarina
1745			Prymnesiaceae		Prymnesium	polylepis
